SCF_Control,SCF_ID,CIS_Control
Cybersecurity Data Privacy Governance,GOV,CIS CSC 1
Artificial and Autonomous Technology,AAT,CIS CSC 2
Asset Management,AST,CIS CSC 1
Business Continuity Disaster Recovery,BCD,CIS CSC 10
Capacity Performance Planning,CAP,CIS CSC 1
Change Management,CHG,CIS CSC 5
Cloud Security,CLD,CIS CSC 7
Compliance,CPL,CIS CSC 6
Configuration Management,CFG,CIS CSC 3
Continuous Monitoring,MON,CIS CSC 8
Cryptographic Protections,CRY,CIS CSC 3
Data Classification Handling,DCH,CIS CSC 3
Embedded Technology,EMB,CIS CSC 11
Endpoint Security,END,CIS CSC 4
Human Resources Security,HRS,CIS CSC 5
Identification Authentication,IAC,CIS CSC 5
Incident Response,IRO,CIS CSC 10
Information Assurance,IAO,CIS CSC 13
Maintenance,MNT,CIS CSC 3
Mobile Device Management,MDM,CIS CSC 4
Network Security,NET,CIS CSC 9
Physical Environmental Security,PES,CIS CSC 12
Data Privacy,PRI,CIS CSC 2
Project Resource Management,PRM,CIS CSC 1
Risk Management,RSK,CIS CSC 1
Secure Engineering Architecture,SEA,CIS CSC 6
Security Operations,OPS,CIS CSC 8
Security Awareness Training,SAT,CIS CSC 5
Technology Development Acquisition,TDA,CIS CSC 6
Third-Party Management,TPM,CIS CSC 6
Threat Management,THR,CIS CSC 6
Vulnerability Patch Management,VPM,CIS CSC 7
Web Security,WEB,CIS CSC 9
Asset Management - IT Asset Management ITAM,AST-01,CIS CSC 1
Asset Management - Asset Inventory,AST-02,CIS CSC 1
Asset Management - Asset Categorization,AST-03,CIS CSC 1
Asset Management - Scoping,AST-04,CIS CSC 1
Asset Management - Disposal,AST-05,CIS CSC 1
Asset Management - Maintenance,AST-06,CIS CSC 3
Asset Management - Security Controls,AST-07,CIS CSC 6
Asset Management - Endpoint Protection,AST-08,CIS CSC 4
Asset Management - Media Disposal,AST-09,CIS CSC 3
Asset Management - Vendor Management,AST-10,CIS CSC 6
Business Continuity - COOP,BCD-01,CIS CSC 10
Business Continuity - RTO/RPO,BCD-02,CIS CSC 10
Business Continuity - Testing,BCD-03,CIS CSC 10
Business Continuity - Training,BCD-04,CIS CSC 10
Business Continuity - RCA,BCD-05,CIS CSC 10
Business Continuity - Review,BCD-06,CIS CSC 10
Business Continuity - Alternate Facilities,BCD-07,CIS CSC 10
Business Continuity - Communications,BCD-08,CIS CSC 10
Business Continuity - Testing,BCD-09,CIS CSC 10
Business Continuity - Responsibility,BCD-10,CIS CSC 10
Business Continuity - Backups,BCD-11,CIS CSC 10
Business Continuity - Recovery,BCD-12,CIS CSC 10
Business Continuity - Procedures,BCD-13,CIS CSC 10
Capacity Performance Planning - Planning,CAP-01,CIS CSC 1
Capacity Performance Planning - Prioritization,CAP-02,CIS CSC 1
Capacity Performance Planning - Forecasting,CAP-03,CIS CSC 1
Capacity Performance Planning - Monitoring,CAP-04,CIS CSC 8
Capacity Performance Planning - Scaling,CAP-05,CIS CSC 1
Change Management - Process,CHG-01,CIS CSC 5
Change Management - CCB,CHG-02,CIS CSC 5
Change Management - Review,CHG-03,CIS CSC 5
Change Management - Responsibility,CHG-04,CIS CSC 5
Change Management - Tracking,CHG-05,CIS CSC 5
Change Management - Emergency,CHG-06,CIS CSC 5
Cloud Security - Inventory,CLD-01,CIS CSC 7
Cloud Security - Assessment,CLD-02,CIS CSC 7
Cloud Security - Agreements,CLD-03,CIS CSC 7
Cloud Security - Architecture,CLD-04,CIS CSC 7
Cloud Security - Data,CLD-05,CIS CSC 7
Cloud Security - Access,CLD-06,CIS CSC 5
Cloud Security - Monitoring,CLD-07,CIS CSC 8
Cloud Security - Encryption,CLD-08,CIS CSC 3
Cloud Security - Location,CLD-09,CIS CSC 7
Cloud Security - Retention,CLD-10,CIS CSC 3
Compliance - Obligations,CPL-01,CIS CSC 6
Compliance - Audit,CPL-02,CIS CSC 6
Compliance - Findings,CPL-03,CIS CSC 6
Configuration Management - Baseline,CFG-01,CIS CSC 3
Configuration Management - Standards,CFG-02,CIS CSC 3
Configuration Management - Implementation,CFG-03,CIS CSC 3
Configuration Management - Changes,CFG-04,CIS CSC 5
Configuration Management - Access,CFG-05,CIS CSC 5
Configuration Management - Monitoring,CFG-06,CIS CSC 8
Configuration Management - Verification,CFG-07,CIS CSC 13
Configuration Management - Authorization,CFG-08,CIS CSC 5
Continuous Monitoring - Collection,MON-01,CIS CSC 8
Continuous Monitoring - Analysis,MON-02,CIS CSC 8
Continuous Monitoring - Alerting,MON-03,CIS CSC 8
Continuous Monitoring - Baseline,MON-04,CIS CSC 8
Continuous Monitoring - Anomalies,MON-05,CIS CSC 8
Continuous Monitoring - Logs,MON-06,CIS CSC 8
Continuous Monitoring - Retention,MON-07,CIS CSC 6
Continuous Monitoring - Review,MON-08,CIS CSC 8
Continuous Monitoring - Reporting,MON-09,CIS CSC 8
Continuous Monitoring - Retention,MON-10,CIS CSC 3
Cryptographic Protections - Standards,CRY-01,CIS CSC 3
Cryptographic Protections - Implementation,CRY-02,CIS CSC 3
Cryptographic Protections - Management,CRY-03,CIS CSC 3
Cryptographic Protections - Algorithms,CRY-04,CIS CSC 3
Data Classification Handling - Scheme,DCH-01,CIS CSC 3
Data Classification Handling - Practices,DCH-02,CIS CSC 3
Data Classification Handling - Labeling,DCH-03,CIS CSC 3
Data Classification Handling - Storage,DCH-04,CIS CSC 3
Data Classification Handling - Transmission,DCH-05,CIS CSC 3
Data Classification Handling - Access,DCH-06,CIS CSC 3
Data Classification Handling - Disposal,DCH-07,CIS CSC 3
Data Classification Handling - Destruction,DCH-08,CIS CSC 3
Data Classification Handling - Media,DCH-09,CIS CSC 3
Embedded Technology - Assessment,EMB-01,CIS CSC 11
Embedded Technology - Hardening,EMB-02,CIS CSC 11
Embedded Technology - Monitoring,EMB-03,CIS CSC 11
Endpoint Security - Inventory,END-01,CIS CSC 4
Endpoint Security - Baseline,END-02,CIS CSC 3
Endpoint Security - Protection,END-03,CIS CSC 4
Endpoint Security - Malware,END-04,CIS CSC 4
Endpoint Security - Updates,END-05,CIS CSC 7
Endpoint Security - Monitoring,END-06,CIS CSC 8
Human Resources Security - Roles,HRS-01,CIS CSC 5
Human Resources Security - Assignment,HRS-02,CIS CSC 5
Human Resources Security - Responsibilities,HRS-03,CIS CSC 5
Human Resources Security - Screening,HRS-04,CIS CSC 5
Human Resources Security - Training,HRS-05,CIS CSC 5
Human Resources Security - Agreements,HRS-06,CIS CSC 5
Human Resources Security - Conduct,HRS-07,CIS CSC 5
Identification Authentication - Policy,IAC-01,CIS CSC 5
Identification Authentication - Standards,IAC-02,CIS CSC 5
Identification Authentication - IAM,IAC-03,CIS CSC 5
Identification Authentication - Access,IAC-04,CIS CSC 5
Identification Authentication - Privileges,IAC-05,CIS CSC 5
Identification Authentication - Accounts,IAC-06,CIS CSC 5
Identification Authentication - Management,IAC-07,CIS CSC 5
Identification Authentication - Review,IAC-08,CIS CSC 5
Incident Response - Plan,IRO-01,CIS CSC 10
Incident Response - Training,IRO-02,CIS CSC 10
Incident Response - Detection,IRO-03,CIS CSC 10
Incident Response - Response,IRO-04,CIS CSC 10
Incident Response - Communication,IRO-05,CIS CSC 10
Incident Response - Evidence,IRO-06,CIS CSC 10
Information Assurance - Assessment,IAO-01,CIS CSC 13
Information Assurance - Documentation,IAO-02,CIS CSC 13
Information Assurance - Review,IAO-03,CIS CSC 13
Maintenance - Schedule,MNT-01,CIS CSC 3
Maintenance - Updates,MNT-02,CIS CSC 7
Maintenance - Tracking,MNT-03,CIS CSC 3
Maintenance - End-of-Life,MNT-04,CIS CSC 3
Mobile Device Management - Policy,MDM-01,CIS CSC 4
Mobile Device Management - Inventory,MDM-02,CIS CSC 4
Mobile Device Management - Baseline,MDM-03,CIS CSC 3
Mobile Device Management - Access,MDM-04,CIS CSC 4
Mobile Device Management - Monitoring,MDM-05,CIS CSC 8
Network Security - Architecture,NET-01,CIS CSC 9
Network Security - Diagrams,NET-02,CIS CSC 9
Network Security - Segmentation,NET-03,CIS CSC 9
Network Security - Baseline,NET-04,CIS CSC 3
Network Security - Filtering,NET-05,CIS CSC 9
Network Security - Access,NET-06,CIS CSC 9
Network Security - Monitoring,NET-07,CIS CSC 8
Physical Environmental Security - Perimeter,PES-01,CIS CSC 12
Physical Environmental Security - Entry,PES-02,CIS CSC 12
Physical Environmental Security - Surveillance,PES-03,CIS CSC 12
Physical Environmental Security - Environmental,PES-04,CIS CSC 12
Physical Environmental Security - Disposal,PES-05,CIS CSC 12
Data Privacy - Program,PRI-01,CIS CSC 2
Data Privacy - Governance,PRI-02,CIS CSC 2
Data Privacy - Assessment,PRI-03,CIS CSC 2
Data Privacy - Controls,PRI-04,CIS CSC 2
Data Privacy - Data,PRI-05,CIS CSC 3
Project Resource Management - Program,PRM-01,CIS CSC 1
Project Resource Management - Resources,PRM-02,CIS CSC 1
Risk Management - Framework,RSK-01,CIS CSC 1
Risk Management - Assessment,RSK-02,CIS CSC 1
Risk Management - Treatment,RSK-03,CIS CSC 1
Risk Management - Monitoring,RSK-04,CIS CSC 8
Secure Engineering Architecture - Engineering,SEA-01,CIS CSC 6
Secure Engineering Architecture - Architecture,SEA-02,CIS CSC 6
Secure Engineering Architecture - Design,SEA-03,CIS CSC 6
Secure Engineering Architecture - Review,SEA-04,CIS CSC 6
Security Operations - Staffing,OPS-01,CIS CSC 8
Security Operations - Procedures,OPS-02,CIS CSC 8
Security Operations - Tools,OPS-03,CIS CSC 8
Security Awareness Training - Program,SAT-01,CIS CSC 5
Security Awareness Training - Training,SAT-02,CIS CSC 5
Security Awareness Training - Refresher,SAT-03,CIS CSC 5
Security Awareness Training - Role-Based,SAT-04,CIS CSC 5
Technology Development Acquisition - Development,TDA-01,CIS CSC 6
Technology Development Acquisition - Acquisition,TDA-02,CIS CSC 6
Technology Development Acquisition - Secure SDLC,TDA-03,CIS CSC 6
Technology Development Acquisition - Code Review,TDA-04,CIS CSC 6
Technology Development Acquisition - Testing,TDA-05,CIS CSC 13
Technology Development Acquisition - Documentation,TDA-06,CIS CSC 6
Third-Party Management - Assessment,TPM-01,CIS CSC 6
Third-Party Management - Agreements,TPM-02,CIS CSC 6
Third-Party Management - Monitoring,TPM-03,CIS CSC 8
Third-Party Management - Incidents,TPM-04,CIS CSC 10
Third-Party Management - Remediation,TPM-05,CIS CSC 6
Threat Management - Identification,THR-01,CIS CSC 6
Threat Management - Assessment,THR-02,CIS CSC 6
Threat Management - Trending,THR-03,CIS CSC 6
Threat Management - Intelligence,THR-04,CIS CSC 6
Threat Management - Awareness,THR-05,CIS CSC 5
Vulnerability Patch Management - Identification,VPM-01,CIS CSC 7
Vulnerability Patch Management - Assessment,VPM-02,CIS CSC 7
Vulnerability Patch Management - Remediation,VPM-03,CIS CSC 7
Vulnerability Patch Management - Testing,VPM-04,CIS CSC 13
Web Security - Architecture,WEB-01,CIS CSC 9
Web Security - Baseline,WEB-02,CIS CSC 3
Web Security - Access,WEB-03,CIS CSC 9
Web Security - Monitoring,WEB-04,CIS CSC 8
Web Security - Input Validation,WEB-05,CIS CSC 9
Web Security - Output Encoding,WEB-06,CIS CSC 9
Web Security - Headers,WEB-07,CIS CSC 9
Web Security - WAF,WEB-08,CIS CSC 9
Web Security - SSL/TLS,WEB-09,CIS CSC 3
Web Security - Logging,WEB-10,CIS CSC 8
Web Security - Error Handling,WEB-11,CIS CSC 9
Web Security - Security Headers,WEB-12,CIS CSC 9
Web Security - Indicators,WEB-13,CIS CSC 8
Web Security - Public Content,WEB-14,CIS CSC 9
Cybersecurity Program Governance,GOV-01,CIS CSC 1
Data Protection Policies,GOV-02,CIS CSC 2
Privacy Program,GOV-03,CIS CSC 2
Organizational Roles,GOV-04,CIS CSC 5
Metrics and Monitoring,GOV-05,CIS CSC 8
Risk Management,GOV-06,CIS CSC 1
Training,GOV-07,CIS CSC 5
Incident Response,GOV-08,CIS CSC 10
Compliance,GOV-09,CIS CSC 6
AI Governance - Program,AAT-01,CIS CSC 2
AI Governance - Compliance,AAT-02,CIS CSC 2
AI Governance - Development,AAT-03,CIS CSC 6
AI Governance - Business Case,AAT-04,CIS CSC 2
AI Governance - Risk Management,AAT-05,CIS CSC 2
AI Governance - Stakeholders,AAT-06,CIS CSC 2
AI Governance - Impact,AAT-07,CIS CSC 2
AI Governance - Testing,AAT-08,CIS CSC 13
AI Governance - IP Protection,AAT-09,CIS CSC 6
AI Governance - Validation,AAT-10,CIS CSC 13
AI Governance - Transparency,AAT-11,CIS CSC 2
AI Governance - Data Quality,AAT-12,CIS CSC 3
