SCF_Control,SCF_ID,ISO27001
Cybersecurity Data Privacy Governance,GOV,ISO 27001 A.5 Organizational Controls
Cybersecurity Data Privacy Governance,GOV,ISO 27001 A.6 People Controls
Cybersecurity Data Privacy Governance,GOV,ISO 27001 A.7 Physical Controls
Artificial and Autonomous Technology,AAT,ISO 27001 A.5 Organizational Controls
Artificial and Autonomous Technology,AAT,ISO 27001 A.8 Technological Controls
Asset Management,AST,ISO 27001 A.5 Organizational Controls
Asset Management,AST,ISO 27001 A.8 Technological Controls
Business Continuity Disaster Recovery,BCD,ISO 27001 A.5 Organizational Controls
Business Continuity Disaster Recovery,BCD,ISO 27001 A.8 Technological Controls
Capacity Performance Planning,CAP,ISO 27001 A.5 Organizational Controls
Capacity Performance Planning,CAP,ISO 27001 A.8 Technological Controls
Change Management,CHG,ISO 27001 A.5 Organizational Controls
Change Management,CHG,ISO 27001 A.8 Technological Controls
Cloud Security,CLD,ISO 27001 A.5 Organizational Controls
Cloud Security,CLD,ISO 27001 A.6 People Controls
Cloud Security,CLD,ISO 27001 A.8 Technological Controls
Compliance,CPL,ISO 27001 A.5 Organizational Controls
Compliance,CPL,ISO 27001 A.6 People Controls
Compliance,CPL,ISO 27001 A.8 Technological Controls
Configuration Management,CFG,ISO 27001 A.5 Organizational Controls
Configuration Management,CFG,ISO 27001 A.8 Technological Controls
Continuous Monitoring,MON,ISO 27001 A.5 Organizational Controls
Continuous Monitoring,MON,ISO 27001 A.8 Technological Controls
Cryptographic Protections,CRY,ISO 27001 A.8 Technological Controls
Data Classification Handling,DCH,ISO 27001 A.5 Organizational Controls
Data Classification Handling,DCH,ISO 27001 A.8 Technological Controls
Embedded Technology,EMB,ISO 27001 A.5 Organizational Controls
Embedded Technology,EMB,ISO 27001 A.8 Technological Controls
Endpoint Security,END,ISO 27001 A.5 Organizational Controls
Endpoint Security,END,ISO 27001 A.8 Technological Controls
Human Resources Security,HRS,ISO 27001 A.6 People Controls
Human Resources Security,HRS,ISO 27001 A.5 Organizational Controls
Identification Authentication,IAC,ISO 27001 A.8 Technological Controls
Identification Authentication,IAC,ISO 27001 A.5 Organizational Controls
Incident Response,IRO,ISO 27001 A.5 Organizational Controls
Incident Response,IRO,ISO 27001 A.8 Technological Controls
Information Assurance,IAO,ISO 27001 A.5 Organizational Controls
Information Assurance,IAO,ISO 27001 A.8 Technological Controls
Maintenance,MNT,ISO 27001 A.5 Organizational Controls
Maintenance,MNT,ISO 27001 A.8 Technological Controls
Mobile Device Management,MDM,ISO 27001 A.5 Organizational Controls
Mobile Device Management,MDM,ISO 27001 A.8 Technological Controls
Network Security,NET,ISO 27001 A.8 Technological Controls
Network Security,NET,ISO 27001 A.5 Organizational Controls
Physical Environmental Security,PES,ISO 27001 A.7 Physical Controls
Physical Environmental Security,PES,ISO 27001 A.5 Organizational Controls
Data Privacy,PRI,ISO 27001 A.5 Organizational Controls
Data Privacy,PRI,ISO 27001 A.6 People Controls
Data Privacy,PRI,ISO 27001 A.8 Technological Controls
Project Resource Management,PRM,ISO 27001 A.5 Organizational Controls
Project Resource Management,PRM,ISO 27001 A.6 People Controls
Risk Management,RSK,ISO 27001 A.5 Organizational Controls
Risk Management,RSK,ISO 27001 A.8 Technological Controls
Secure Engineering Architecture,SEA,ISO 27001 A.8 Technological Controls
Secure Engineering Architecture,SEA,ISO 27001 A.5 Organizational Controls
Security Operations,OPS,ISO 27001 A.5 Organizational Controls
Security Operations,OPS,ISO 27001 A.8 Technological Controls
Security Awareness Training,SAT,ISO 27001 A.6 People Controls
Security Awareness Training,SAT,ISO 27001 A.5 Organizational Controls
Technology Development Acquisition,TDA,ISO 27001 A.8 Technological Controls
Technology Development Acquisition,TDA,ISO 27001 A.5 Organizational Controls
Third-Party Management,TPM,ISO 27001 A.5 Organizational Controls
Third-Party Management,TPM,ISO 27001 A.6 People Controls
Third-Party Management,TPM,ISO 27001 A.8 Technological Controls
Threat Management,THR,ISO 27001 A.5 Organizational Controls
Threat Management,THR,ISO 27001 A.8 Technological Controls
Vulnerability Patch Management,VPM,ISO 27001 A.5 Organizational Controls
Vulnerability Patch Management,VPM,ISO 27001 A.8 Technological Controls
Web Security,WEB,ISO 27001 A.8 Technological Controls
Web Security,WEB,ISO 27001 A.5 Organizational Controls
