SCF_Control,SCF_ID,NERC_CIP
Cybersecurity Data Privacy Governance,GOV,NERC CIP-002 Critical Cyber Asset Identification
Cybersecurity Data Privacy Governance,GOV,NERC CIP-010 Configuration and Vulnerability Management
Cybersecurity Data Privacy Governance,GOV,NERC CIP-013 Supply Chain Risk Management
Artificial and Autonomous Technology,AAT,NERC CIP-005 Access Management
Artificial and Autonomous Technology,AAT,NERC CIP-010 Configuration and Vulnerability Management
Asset Management,AST,NERC CIP-002 Critical Cyber Asset Identification
Asset Management,AST,NERC CIP-010 Configuration and Vulnerability Management
Business Continuity Disaster Recovery,BCD,NERC CIP-009 Recovery Plans for Critical Infrastructure Control Centers
Business Continuity Disaster Recovery,BCD,NERC CIP-008 Incident Reporting and Response Planning
Capacity Performance Planning,CAP,NERC CIP-002 Critical Cyber Asset Identification
Capacity Performance Planning,CAP,NERC CIP-010 Configuration and Vulnerability Management
Change Management,CHG,NERC CIP-010 Configuration and Vulnerability Management
Change Management,CHG,NERC CIP-016 Configuration and Vulnerability Management
Cloud Security,CLD,NERC CIP-005 Access Management
Cloud Security,CLD,NERC CIP-010 Configuration and Vulnerability Management
Cloud Security,CLD,NERC CIP-013 Supply Chain Risk Management
Compliance,CPL,NERC CIP-001 Cyber Security Plan
Compliance,CPL,NERC CIP-003 Security Management Controls
Compliance,CPL,NERC CIP-009 Recovery Plans for Critical Infrastructure Control Centers
Configuration Management,CFG,NERC CIP-010 Configuration and Vulnerability Management
Configuration Management,CFG,NERC CIP-016 Configuration and Vulnerability Management
Continuous Monitoring,MON,NERC CIP-005 Access Management
Continuous Monitoring,MON,NERC CIP-010 Configuration and Vulnerability Management
Continuous Monitoring,MON,NERC CIP-015 Cyber Security Incident Handling
Cryptographic Protections,CRY,NERC CIP-005 Access Management
Cryptographic Protections,CRY,NERC CIP-011 Information and Communications Technology Security
Data Classification Handling,DCH,NERC CIP-003 Security Management Controls
Data Classification Handling,DCH,NERC CIP-011 Information and Communications Technology Security
Embedded Technology,EMB,NERC CIP-002 Critical Cyber Asset Identification
Embedded Technology,EMB,NERC CIP-010 Configuration and Vulnerability Management
Embedded Technology,EMB,NERC CIP-016 Configuration and Vulnerability Management
Endpoint Security,END,NERC CIP-005 Access Management
Endpoint Security,END,NERC CIP-010 Configuration and Vulnerability Management
Human Resources Security,HRS,NERC CIP-003 Security Management Controls
Human Resources Security,HRS,NERC CIP-004 Personnel and Training
Human Resources Security,HRS,NERC CIP-005 Access Management
Identification Authentication,IAC,NERC CIP-005 Access Management
Identification Authentication,IAC,NERC CIP-011 Information and Communications Technology Security
Incident Response,IRO,NERC CIP-008 Incident Reporting and Response Planning
Incident Response,IRO,NERC CIP-015 Cyber Security Incident Handling
Information Assurance,IAO,NERC CIP-001 Cyber Security Plan
Information Assurance,IAO,NERC CIP-003 Security Management Controls
Maintenance,MNT,NERC CIP-010 Configuration and Vulnerability Management
Maintenance,MNT,NERC CIP-016 Configuration and Vulnerability Management
Mobile Device Management,MDM,NERC CIP-005 Access Management
Mobile Device Management,MDM,NERC CIP-010 Configuration and Vulnerability Management
Network Security,NET,NERC CIP-005 Access Management
Network Security,NET,NERC CIP-010 Configuration and Vulnerability Management
Physical Environmental Security,PES,NERC CIP-006 Security of Physical Design and Physical Security of Substations
Physical Environmental Security,PES,NERC CIP-007 Systems Security Management
Data Privacy,PRI,NERC CIP-003 Security Management Controls
Data Privacy,PRI,NERC CIP-004 Personnel and Training
Data Privacy,PRI,NERC CIP-011 Information and Communications Technology Security
Project Resource Management,PRM,NERC CIP-001 Cyber Security Plan
Project Resource Management,PRM,NERC CIP-003 Security Management Controls
Risk Management,RSK,NERC CIP-001 Cyber Security Plan
Risk Management,RSK,NERC CIP-002 Critical Cyber Asset Identification
Risk Management,RSK,NERC CIP-003 Security Management Controls
Secure Engineering Architecture,SEA,NERC CIP-010 Configuration and Vulnerability Management
Secure Engineering Architecture,SEA,NERC CIP-016 Configuration and Vulnerability Management
Security Operations,OPS,NERC CIP-005 Access Management
Security Operations,OPS,NERC CIP-008 Incident Reporting and Response Planning
Security Operations,OPS,NERC CIP-015 Cyber Security Incident Handling
Security Awareness Training,SAT,NERC CIP-003 Security Management Controls
Security Awareness Training,SAT,NERC CIP-004 Personnel and Training
Technology Development Acquisition,TDA,NERC CIP-010 Configuration and Vulnerability Management
Technology Development Acquisition,TDA,NERC CIP-013 Supply Chain Risk Management
Third-Party Management,TPM,NERC CIP-003 Security Management Controls
Third-Party Management,TPM,NERC CIP-013 Supply Chain Risk Management
Threat Management,THR,NERC CIP-001 Cyber Security Plan
Threat Management,THR,NERC CIP-008 Incident Reporting and Response Planning
Threat Management,THR,NERC CIP-015 Cyber Security Incident Handling
Vulnerability Patch Management,VPM,NERC CIP-010 Configuration and Vulnerability Management
Vulnerability Patch Management,VPM,NERC CIP-016 Configuration and Vulnerability Management
Web Security,WEB,NERC CIP-005 Access Management
Web Security,WEB,NERC CIP-010 Configuration and Vulnerability Management
