control_id,control_name,source_framework,source_framework_version,source_framework_full_name,control_text,control_type
1,CIS Control 1,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 1 from CIS Critical Security Controls v8.1,External
1.1,CIS Control 1.1,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 1.1 from CIS Critical Security Controls v8.1,External
1.2,CIS Control 1.2,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 1.2 from CIS Critical Security Controls v8.1,External
1.3,CIS Control 1.3,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 1.3 from CIS Critical Security Controls v8.1,External
1.4,CIS Control 1.4,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 1.4 from CIS Critical Security Controls v8.1,External
1.5,CIS Control 1.5,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 1.5 from CIS Critical Security Controls v8.1,External
10,CIS Control 10,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 10 from CIS Critical Security Controls v8.1,External
10.1,CIS Control 10.1,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 10.1 from CIS Critical Security Controls v8.1,External
10.2,CIS Control 10.2,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 10.2 from CIS Critical Security Controls v8.1,External
10.3,CIS Control 10.3,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 10.3 from CIS Critical Security Controls v8.1,External
10.4,CIS Control 10.4,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 10.4 from CIS Critical Security Controls v8.1,External
10.5,CIS Control 10.5,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 10.5 from CIS Critical Security Controls v8.1,External
10.6,CIS Control 10.6,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 10.6 from CIS Critical Security Controls v8.1,External
10.7,CIS Control 10.7,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 10.7 from CIS Critical Security Controls v8.1,External
11,CIS Control 11,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 11 from CIS Critical Security Controls v8.1,External
11.1,CIS Control 11.1,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 11.1 from CIS Critical Security Controls v8.1,External
11.2,CIS Control 11.2,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 11.2 from CIS Critical Security Controls v8.1,External
11.3,CIS Control 11.3,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 11.3 from CIS Critical Security Controls v8.1,External
11.4,CIS Control 11.4,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 11.4 from CIS Critical Security Controls v8.1,External
11.5,CIS Control 11.5,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 11.5 from CIS Critical Security Controls v8.1,External
12,CIS Control 12,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 12 from CIS Critical Security Controls v8.1,External
12.1,CIS Control 12.1,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 12.1 from CIS Critical Security Controls v8.1,External
12.2,CIS Control 12.2,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 12.2 from CIS Critical Security Controls v8.1,External
12.3,CIS Control 12.3,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 12.3 from CIS Critical Security Controls v8.1,External
12.4,CIS Control 12.4,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 12.4 from CIS Critical Security Controls v8.1,External
12.5,CIS Control 12.5,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 12.5 from CIS Critical Security Controls v8.1,External
12.6,CIS Control 12.6,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 12.6 from CIS Critical Security Controls v8.1,External
12.7,CIS Control 12.7,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 12.7 from CIS Critical Security Controls v8.1,External
12.8,CIS Control 12.8,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 12.8 from CIS Critical Security Controls v8.1,External
13,CIS Control 13,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 13 from CIS Critical Security Controls v8.1,External
13.1,CIS Control 13.1,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 13.1 from CIS Critical Security Controls v8.1,External
13.10,CIS Control 13.10,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 13.10 from CIS Critical Security Controls v8.1,External
13.11,CIS Control 13.11,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 13.11 from CIS Critical Security Controls v8.1,External
13.2,CIS Control 13.2,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 13.2 from CIS Critical Security Controls v8.1,External
13.3,CIS Control 13.3,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 13.3 from CIS Critical Security Controls v8.1,External
13.4,CIS Control 13.4,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 13.4 from CIS Critical Security Controls v8.1,External
13.5,CIS Control 13.5,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 13.5 from CIS Critical Security Controls v8.1,External
13.6,CIS Control 13.6,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 13.6 from CIS Critical Security Controls v8.1,External
13.7,CIS Control 13.7,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 13.7 from CIS Critical Security Controls v8.1,External
13.8,CIS Control 13.8,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 13.8 from CIS Critical Security Controls v8.1,External
13.9,CIS Control 13.9,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 13.9 from CIS Critical Security Controls v8.1,External
14,CIS Control 14,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 14 from CIS Critical Security Controls v8.1,External
14.1,CIS Control 14.1,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 14.1 from CIS Critical Security Controls v8.1,External
14.2,CIS Control 14.2,CIS,CSC v8.1,CIS Critical Security Controls v8.1,Control 14.2 from CIS Critical Security Controls v8.1,External
