framework_name,framework_version,domain_identifier
Secure Controls Framework,2025.2.2,GOV
Secure Controls Framework,2025.2.2,AAT
Secure Controls Framework,2025.2.2,AST
Secure Controls Framework,2025.2.2,BCD
Secure Controls Framework,2025.2.2,CAP
Secure Controls Framework,2025.2.2,CHG
Secure Controls Framework,2025.2.2,CLD
Secure Controls Framework,2025.2.2,CPL
Secure Controls Framework,2025.2.2,CFG
Secure Controls Framework,2025.2.2,MON
Secure Controls Framework,2025.2.2,CRY
Secure Controls Framework,2025.2.2,DCH
Secure Controls Framework,2025.2.2,EMB
Secure Controls Framework,2025.2.2,END
Secure Controls Framework,2025.2.2,HRS
Secure Controls Framework,2025.2.2,IAC
Secure Controls Framework,2025.2.2,IRO
Secure Controls Framework,2025.2.2,IAO
Secure Controls Framework,2025.2.2,MNT
Secure Controls Framework,2025.2.2,MDM
Secure Controls Framework,2025.2.2,NET
Secure Controls Framework,2025.2.2,PES
Secure Controls Framework,2025.2.2,PRI
Secure Controls Framework,2025.2.2,PRM
Secure Controls Framework,2025.2.2,RSK
Secure Controls Framework,2025.2.2,SEA
Secure Controls Framework,2025.2.2,OPS
Secure Controls Framework,2025.2.2,SAT
Secure Controls Framework,2025.2.2,TDA
Secure Controls Framework,2025.2.2,TPM
Secure Controls Framework,2025.2.2,THR
Secure Controls Framework,2025.2.2,VPM
Secure Controls Framework,2025.2.2,WEB
