scf_control_id,scf_control_name,scf_domain,external_control_id,external_framework,external_framework_version,external_framework_full_name,relationship_type,strength,justification,date_established,notes
AST-01,Asset Governance ,Asset Management,1,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-01,Asset Governance ,Asset Management,2,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-01,Asset Governance ,Asset Management,2.1,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-01,Asset Governance ,Asset Management,2.2,CIS,CSC v8.1,CIS Critical Security Controls v8.1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-01,Asset Governance ,Asset Management,2.1,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-01,Asset Governance ,Asset Management,2.2,CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-01,Asset Governance ,Asset Management,1.3,CIS,CSC v8.1 IG2,CIS Critical Security Controls v8.1 Implementation Group 2,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-01,Asset Governance ,Asset Management,2.1,CIS,CSC v8.1 IG2,CIS Critical Security Controls v8.1 Implementation Group 2,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-01,Asset Governance ,Asset Management,2.2,CIS,CSC v8.1 IG2,CIS Critical Security Controls v8.1 Implementation Group 2,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
AST-01,Asset Governance ,Asset Management,1.3,CIS,CSC v8.1 IG3,CIS Critical Security Controls v8.1 Implementation Group 3,MAPS_TO,STRONG,Official SCF Mapping,2025-01-01,Official mapping from SCF 2025.2.2
