definition_id,defined_term,definition_text,source_section,scope_note,statutory_citation
DEF-001,Affiliate,"A legal entity that controls, is controlled by, or is under common control with another legal entity or shares common branding.",541.001(1),"Control defined as >50% ownership or power to vote.",Tex. Bus. & Com. Code § 541.001(1)
DEF-002,Biometric Data,"Data generated by automatic measurements of an individual's biological characteristics, such as a fingerprint, voiceprint, eye retina or iris, or other unique biological pattern or characteristic that is used to identify a specific individual.",541.001(3),"Excludes physical/digital photographs, video/audio recordings, or HIPAA data.",Tex. Bus. & Com. Code § 541.001(3)
DEF-003,Consent,"A clear affirmative act signifying a consumer's freely given, specific, informed, and unambiguous agreement to process personal data relating to the consumer.",541.001(6),"Excludes acceptance of general terms of use, hovering/pausing content, or dark patterns.",Tex. Bus. & Com. Code § 541.001(6)
DEF-004,Consumer,"An individual who is a resident of this state acting only in an individual or household context.",541.001(7),"Excludes an individual acting in a commercial or employment context.",Tex. Bus. & Com. Code § 541.001(7)
DEF-005,Controller,"An individual or other person that, alone or jointly with others, determines the purpose and means of processing personal data.",541.001(8),,Tex. Bus. & Com. Code § 541.001(8)
DEF-006,Dark Pattern,"A user interface designed or manipulated with the effect of substantially subverting or impairing user autonomy, decision-making, or choice.",541.001(10),"Includes practices referred to as dark patterns by the FTC.",Tex. Bus. & Com. Code § 541.001(10)
DEF-007,Personal Data,"Any information, including sensitive data, that is linked or reasonably linkable to an identified or identifiable individual.",541.001(19),"Includes pseudonymous data if used with linking info. Excludes deidentified data or publicly available information.",Tex. Bus. & Com. Code § 541.001(19)
DEF-008,Precise Geolocation Data,"Information derived from technology... that directly identifies the specific location of an individual with precision and accuracy within a radius of 1,750 feet.",541.001(21),,Tex. Bus. & Com. Code § 541.001(21)
DEF-009,Processing,"An operation or set of operations performed... on personal data, such as the collection, use, storage, disclosure, analysis, deletion, or modification of personal data.",541.001(22),,Tex. Bus. & Com. Code § 541.001(22)
DEF-010,Profiling,"Solely automated processing performed on personal data to evaluate, analyze, or predict personal aspects related to an identified or identifiable individual's economic situation, health, personal preferences, interests, reliability, behavior, location, or movements.",541.001(24),,Tex. Bus. & Com. Code § 541.001(24)
DEF-011,Pseudonymous Data,"Any information that cannot be attributed to a specific individual without the use of additional information, provided that the additional information is kept separately and is subject to appropriate technical and organizational measures.",541.001(26),,Tex. Bus. & Com. Code § 541.001(26)
DEF-012,Sale of Personal Data,"The sharing, disclosing, or transferring of personal data for monetary or other valuable consideration by the controller to a third party.",541.001(28),"Includes 'other valuable consideration' (broader than VCDPA). Exemptions: Processors, requested products, affiliates, intentional public disclosure.",Tex. Bus. & Com. Code § 541.001(28)
DEF-013,Sensitive Data,"Personal data revealing racial or ethnic origin, religious beliefs, mental or physical health diagnosis, sexuality, or citizenship or immigration status; Genetic or biometric data processed for uniquely identifying an individual; Personal data collected from a known child; Precise geolocation data.",541.001(29),"Requires Opt-In Consent. 'Known child' means under 13.",Tex. Bus. & Com. Code § 541.001(29)
DEF-014,Targeted Advertising,"Displaying to a consumer an advertisement that is selected based on personal data obtained from that consumer's activities over time and across nonaffiliated websites or online applications to predict the consumer's preferences or interests.",541.001(31),"Excludes ads based on current search, own website activity, or measuring ad performance.",Tex. Bus. & Com. Code § 541.001(31)
