section_number,section_title,parent_subchapter,statutory_text_summary
541.001,Definitions,Subchapter A,"Defines 33 key terms including 'Biometric Data', 'Dark Pattern', 'Sale', and 'Sensitive Data'."
541.002,Applicability of Chapter,Subchapter A,"Applies to entities doing business in Texas that process/sell data, unless they are a small business (SBA definition)."
541.003,Certain Information Exempt From Chapter,Subchapter A,"Exempts HIPAA data, GLBA data, driver's privacy act data, and other federally regulated datasets."
541.004,Inapplicability of Chapter,Subchapter A,"Exempts state agencies, higher education institutions, and non-profits."
541.005,Effect of Compliance with Parental Consent Under Federal Law,Subchapter A,"States that COPPA compliance satisfies the parental consent requirements of this chapter."
541.051,Consumer's Personal Data Rights; Request to Exercise Rights,Subchapter B,"Grants rights to confirm processing, correct inaccuracies, delete data, obtain a portable copy, and opt-out of sale/targeting/profiling."
541.052,Controller Response to Consumer Request,Subchapter B,"Mandates a 45-day response window (extendable by 45 days) and requires free responses twice per year."
541.053,Appeal,Subchapter B,"Requires controllers to establish an internal process for consumers to appeal denied requests."
541.054,Waiver or Limitation of Consumer Rights Prohibited,Subchapter B,"Declares any contract provision attempting to waive these consumer rights as void and unenforceable."
541.055,Methods for Submitting Consumer Requests,Subchapter B,"Requires two secure methods for requests; mandates recognition of Universal Opt-Out Mechanisms (UOOM) by Jan 1, 2025."
541.101,Controller Duties; Transparency,Subchapter C,"Mandates data minimization, purpose limitation, and reasonable security practices."
541.102,Privacy Notice,Subchapter C,"Requires a clear notice including categories of data, purposes, and the specific disclosure: 'NOTICE: WE MAY SELL YOUR SENSITIVE PERSONAL DATA'."
541.103,Sale of Data to Third Parties and Processing for Targeted Advertising,Subchapter C,"Requires clear and conspicuous disclosure of data sales and targeted advertising with an opt-out method."
541.104,Duties of Processor,Subchapter C,"Requires processors to adhere to controller instructions and assist with security, breach notification, and DPAs."
541.105,Data Protection Assessments,Subchapter C,"Mandates assessments for high-risk processing (Sale, Targeted Ads, Profiling, Sensitive Data)."
541.106,Deidentified or Pseudonymous Data,Subchapter C,"Requires controllers to take reasonable measures to ensure deidentified data cannot be re-identified."
541.107,Requirements for Small Businesses,Subchapter C,"Prohibits small businesses from selling sensitive data without prior consumer consent."
541.151,Enforcement Authority Exclusive,Subchapter D,"Designates the Attorney General as the sole enforcer; no private right of action for citizens."
541.152,Internet Website and Complaint Mechanism,Subchapter D,"Requires the AG to maintain a website for consumer complaints."
541.201,Construction of Chapter,Subchapter E,"Clarifies that the law does not restrict complying with federal/state laws or defending legal claims."
541.202,"Collection, Use, or Retention of Data for Certain Purposes",Subchapter E,"Permits data retention for internal research, product improvement, or performing a contract."
541.203,Disclosure of Personal Data to Third Party for Certain Purposes,Subchapter E,"Clarifies liability when data is disclosed to third parties in compliance with the act."
541.153,Investigative Authority,Subchapter D,"Authorizes the attorney general to issue a civil investigative demand (using the procedures under Section 15.10) upon reasonable cause and to request disclosure of relevant data protection assessments for evaluation under Sections 541.101, 541.102, and 541.103."
541.154,Notice of Violation of Chapter; Opportunity to Cure,Subchapter D,"Requires the attorney general to notify a person in writing at least 30 days before bringing an action under 541.155; bars the action if the person cures within the 30-day period and provides a written statement confirming the cure, consumer notification, supporting documentation, and internal policy changes."
541.155,Civil Penalty; Injunction,Subchapter D,"Establishes a civil penalty not to exceed $7,500 for each violation after the cure period; authorizes the attorney general to recover penalties, seek injunctive relief, and recover reasonable attorney's fees and expenses, with penalties deposited under Section 402.007, Government Code."
541.156,No Private Right of Action,Subchapter D,"Provides that the chapter may not be construed as providing a basis for, or being subject to, a private right of action for a violation of this chapter or any other law."
541.204,Processing of Certain Personal Data by Controller or Other Person,Subchapter E,"Limits processing under this subchapter to the purposes listed, requiring it to be reasonably necessary, proportionate, and limited, subject to reasonable administrative, technical, and physical safeguards; places the burden of demonstrating an exemption on the controller."
541.205,Local Preemption,Subchapter E,"Supersedes and preempts any ordinance, resolution, rule, or other regulation adopted by a political subdivision regarding the processing of personal data by a controller or processor."
