tisax_requirement_id,control_name
1.1.1,Information security policy
1.2.1,Internal organization
1.2.2,Mobile working
1.2.3,Teleworking
1.2.4,Human resources security
1.3.1,Asset management
1.3.2,Information classification
1.3.3,Media handling
1.3.4,Software approval
1.4.1,Identity management
1.5.1,Supplier relationships
1.5.2,VDA ISA Control 1.5.2
1.6.1,Reporting of information security events
1.6.2,Management of information security incidents
1.6.3,Handling of crisis situations
2.1.1,Information security requirements for projects
2.1.2,VDA ISA Control 2.1.2
2.1.3,VDA ISA Control 2.1.3
2.1.4,VDA ISA Control 2.1.4
3.1.1,Classification of prototypes
3.1.3,VDA ISA Control 3.1.3
3.1.4,VDA ISA Control 3.1.4
4.1.1,Secure development
4.1.2,VDA ISA Control 4.1.2
4.1.3,VDA ISA Control 4.1.3
4.2.1,VDA ISA Control 4.2.1
5.1.1,Physical security perimeters
5.1.2,Physical entry controls
5.2.1,IT service management
5.2.2,Change management
5.2.3,Capacity management
5.2.4,Separation of environments
5.2.5,Protection against malware
5.2.6,Logging and monitoring
5.2.7,Vulnerability management
5.2.8,IT service continuity planning
5.2.9,Backup and recovery
5.3.1,Network security
5.3.2,VDA ISA Control 5.3.2
5.3.3,VDA ISA Control 5.3.3
5.3.4,VDA ISA Control 5.3.4
6.1.1,System acquisition
6.1.2,VDA ISA Control 6.1.2
7.1.1,Compliance with legal requirements
7.1.2,Data protection
8.1.1,Prototype Protection (Generic)
8.1.2,VDA ISA Control 8.1.2
8.1.3,VDA ISA Control 8.1.3
8.1.4,VDA ISA Control 8.1.4
8.1.5,VDA ISA Control 8.1.5
8.1.6,VDA ISA Control 8.1.6
8.1.7,VDA ISA Control 8.1.7
8.1.8,VDA ISA Control 8.1.8
8.2.1,VDA ISA Control 8.2.1
8.2.2,VDA ISA Control 8.2.2
8.2.3,VDA ISA Control 8.2.3
8.2.4,VDA ISA Control 8.2.4
8.2.5,VDA ISA Control 8.2.5
8.2.6,VDA ISA Control 8.2.6
8.2.7,VDA ISA Control 8.2.7
8.3.1,VDA ISA Control 8.3.1
9.1.1,VDA ISA Control 9.1.1
9.2.1,VDA ISA Control 9.2.1
9.3.1,VDA ISA Control 9.3.1
9.4.1,VDA ISA Control 9.4.1
9.5.1,VDA ISA Control 9.5.1
9.5.2,VDA ISA Control 9.5.2
9.5.3,VDA ISA Control 9.5.3
9.6.1,VDA ISA Control 9.6.1
9.6.2,VDA ISA Control 9.6.2
9.7.1,VDA ISA Control 9.7.1
9.7.2,VDA ISA Control 9.7.2
9.8.1,VDA ISA Control 9.8.1
