objective_id,number,name,description,isa_criteria_catalogues,assessment_level,catalogue_group
OBJ-001,1,Info high,Handling of information with high protection needs,Information Security,AL2,InformationSecurity
OBJ-002,2,Info very high,Handling of information with very high protection needs,Information Security,AL3,InformationSecurity
OBJ-003,3,Confidential,Handling of information with high protection needs in the context of confidentiality (access to confidential information),Information Security,AL2,InformationSecurity
OBJ-004,4,Strictly confidential,Handling of information with very high protection needs in the context of confidentiality (access to strictly confidential information),Information Security,AL3,InformationSecurity
OBJ-005,5,High availability,Handling of information with high protection needs in the context of availability (high availability of information),Information Security,AL2,InformationSecurity
OBJ-006,6,Very high availability,Handling of information with very high protection needs in the context of availability (very high availability of information),Information Security,AL3,InformationSecurity
OBJ-007,7,Proto parts,Protection of Prototype Parts and Components,Prototype Protection,AL3,PrototypeProtection
OBJ-008,8,Proto vehicles,Protection of Prototype Vehicles,Prototype Protection,AL3,PrototypeProtection
OBJ-009,9,Test vehicles,Handling of Test Vehicles,Prototype Protection,AL2,PrototypeProtection
OBJ-010,10,Proto events,Protection of Prototypes during Events and Film or Photo Shoots,Prototype Protection,AL2,PrototypeProtection
OBJ-011,11,Data,Data protection according to Article 28 (Processor) of the European General Data Protection Regulation (GDPR),Information Security; Data Protection,AL2,DataProtection
OBJ-012,12,Special data,Data protection according to Article 28 (Processor) of the European General Data Protection Regulation (GDPR) with special categories of personal data as specified in Article 9 of the GDPR,Information Security; Data Protection,AL3,DataProtection
