definition_id,term,text,section_id
DEF-AFFILIATE,Affiliate,"A legal entity that controls, is controlled by, or is under common control with another legal entity or shares common branding with another legal entity. For the purposes of this definition, ""control"" or ""controlled"" means (i) ownership of, or the power to vote, more than 50 percent of the outstanding shares of any class of voting security of a company; (ii) control in any manner over the election of a majority of the directors or of individuals exercising similar functions; or (iii) the power to exercise controlling influence over the management of a company.","59.1-575"
DEF-AUTHENTICATE,Authenticate,"Verifying through reasonable means that the consumer, entitled to exercise his consumer rights in § 59.1-577, is the same consumer exercising such consumer rights with respect to the personal data at issue.","59.1-575"
DEF-BIOMETRIC-DATA,Biometric Data,"Data generated by automatic measurements of an individual's biological characteristics, such as a fingerprint, voiceprint, eye retinas, irises, or other unique biological patterns or characteristics that is used to identify a specific individual. ""Biometric data"" does not include a physical or digital photograph, a video or audio recording or data generated therefrom, or information collected, used, or stored for health care treatment, payment, or operations under HIPAA.","59.1-575"
DEF-CHILD,Child,"Any natural person younger than 13 years of age.","59.1-575"
DEF-CONSENT,Consent,"A clear affirmative act signifying a consumer's freely given, specific, informed, and unambiguous agreement to process personal data relating to the consumer. Consent may include a written statement, including a statement written by electronic means, or any other unambiguous affirmative action.","59.1-575"
DEF-CONSUMER,Consumer,"A natural person who is a resident of the Commonwealth acting only in an individual or household context. It does not include a natural person acting in a commercial or employment context.","59.1-575"
DEF-CONTROLLER,Controller,"The natural or legal person that, alone or jointly with others, determines the purpose and means of processing personal data.","59.1-575"
DEF-LEGAL-EFFECTS,Decisions that produce legal or similarly significant effects concerning a consumer,"A decision made by the controller that results in the provision or denial by the controller of financial and lending services, housing, insurance, education enrollment, criminal justice, employment opportunities, health care services, or access to basic necessities, such as food and water.","59.1-575"
DEF-DEIDENTIFIED-DATA,De-identified Data,"Data that cannot reasonably be linked to an identified or identifiable natural person, or a device linked to such person. A controller that possesses ""de-identified data"" shall comply with the requirements of subsection A of § 59.1-581.","59.1-575"
DEF-IDENTIFIABLE-PERSON,Identified or identifiable natural person,"A person who can be readily identified, directly or indirectly.","59.1-575"
DEF-MINOR,Minor,"For purposes of § 59.1-577.1, any natural person younger than 16 years of age.","59.1-577.1"
DEF-NONPROFIT,Nonprofit Organization,"Any corporation organized under the Virginia Nonstock Corporation Act (§ 13.1-801 et seq.) or any organization exempt from taxation under § 501(c)(3), 501(c)(6), or 501(c)(12) of the Internal Revenue Code, any political organization, any organization exempt from taxation under § 501(c)(4) of the Internal Revenue Code that is identified in § 52-41, and any subsidiary or affiliate of entities organized pursuant to Chapter 9.1 (§ 56-231.15 et seq.) of Title 56.","59.1-575"
DEF-ONLINE-SERVICE,"Online service, product, or feature","Any service, product, or feature that is provided online. ""Online service, product, or feature"" does not include telecommunications service, as defined in 47 U.S.C. § 153, broadband Internet access service, as defined in 47 C.F.R. § 54.400, or delivery or use of a physical product.","59.1-575"
DEF-PARENT,Parent,"A parent or legal guardian of a child or minor.","59.1-575"
DEF-PERSONAL-DATA,Personal Data,"Any information that is linked or reasonably linkable to an identified or identifiable natural person. ""Personal data"" does not include de-identified data or publicly available information.","59.1-575"
DEF-PRECISE-GEO,Precise Geolocation Data,"Information derived from technology, including but not limited to global positioning system level latitude and longitude coordinates or other mechanisms, that directly identifies the specific location of a natural person with precision and accuracy within a radius of 1,750 feet. ""Precise geolocation data"" does not include the content of communications or any data generated by or connected to advanced utility metering infrastructure systems or equipment for use by a utility.","59.1-575"
DEF-PROCESSING,Process or Processing,"Any operation or set of operations performed, whether by manual or automated means, on personal data or on sets of personal data, such as the collection, use, storage, disclosure, analysis, deletion, or modification of personal data.","59.1-575"
DEF-PROCESSOR,Processor,"A natural or legal entity that processes personal data on behalf of a controller.","59.1-575"
DEF-PROFILING,Profiling,"Any form of automated processing performed on personal data to evaluate, analyze, or predict personal aspects related to an identified or identifiable natural person's economic situation, health, personal preferences, interests, reliability, behavior, location, or movements.","59.1-575"
DEF-PSEUDONYMOUS-DATA,Pseudonymous Data,"Personal data that cannot be attributed to a specific natural person without the use of additional information, provided that such additional information is kept separately and is subject to appropriate technical and organizational measures to ensure that the personal data is not attributed to an identified or identifiable natural person.","59.1-575"
DEF-PUBLICLY-AVAILABLE,Publicly Available Information,"Information that is lawfully made available through federal, state, or local government records, or information that a business has a reasonable basis to believe is lawfully made available to the general public through widely distributed media, by the consumer, or by a person to whom the consumer has disclosed the information, unless the consumer has restricted the information to a specific audience.","59.1-575"
DEF-SALE,Sale of Personal Data,"The exchange of personal data for monetary consideration by the controller to a third party. ""Sale of personal data"" does not include: 1. The disclosure of personal data to a processor that processes the personal data on behalf of the controller; 2. The disclosure of personal data to a third party for purposes of providing a product or service requested by the consumer; 3. The disclosure or transfer of personal data to an affiliate of the controller; 4. The disclosure of information that the consumer (i) intentionally made available to the general public via a channel of mass media and (ii) did not restrict to a specific audience; or 5. The disclosure or transfer of personal data to a third party as an asset that is part of a merger, acquisition, bankruptcy, or other transaction in which the third party assumes control of all or part of the controller's assets.","59.1-575"
DEF-SENSITIVE-DATA,Sensitive Data,"A category of personal data that includes: 1. Personal data revealing racial or ethnic origin, religious beliefs, mental or physical health diagnosis, sexual orientation, or citizenship or immigration status; 2. The processing of genetic or biometric data for the purpose of uniquely identifying a natural person; 3. The personal data collected from a known child; or 4. Precise geolocation data.","59.1-575"
DEF-SOCIAL-MEDIA,Social Media Platform,"A public or semipublic Internet-based service or application that has users in the Commonwealth and that meets the following criteria: 1. Connects users in order to allow users to interact socially with each other within such service or application. No service or application that exclusively provides email or direct messaging services shall be considered to meet this criterion on the basis of that function alone; and 2. Allows users to do all of the following: a. Construct a public or semipublic profile for purposes of signing into and using such service or application; b. Populate a public list of other users with whom such user shares a social connection within such service or application; and c. Create or post content viewable by other users, including content on message boards, in chat rooms, or through a landing page or main feed that presents the user with content generated by other users.","59.1-575"
DEF-TARGETED-ADS,Targeted Advertising,"Displaying advertisements to a consumer where the advertisement is selected based on personal data obtained from that consumer's activities over time and across nonaffiliated websites or online applications to predict such consumer's preferences or interests. ""Targeted advertising"" does not include: 1. Advertisements based on activities within a controller's own websites or online applications; 2. Advertisements based on the context of a consumer's current search query, visit to a website, or online application; 3. Advertisements directed to a consumer in response to the consumer's request for information or feedback; or 4. Processing personal data processed solely for measuring or reporting advertising performance, reach, or frequency.","59.1-575"
DEF-THIRD-PARTY,Third Party,"A natural or legal person, public authority, agency, or body other than the consumer, controller, processor, or an affiliate of the processor or the controller.","59.1-575"
DEF-USER,User,"A person not acting as an agent of a controller or processor.","59.1-575"
DEF-DPA,Data Protection Assessment,"An assessment that identifies and weighs the benefits that may flow, directly and indirectly, from the processing to the controller, the consumer, other stakeholders, and the public against the potential risks to the rights of the consumer associated with such processing, as mitigated by safeguards that can be employed by the controller to reduce such risks.","59.1-580"
