enforcement_id,role_id,applicability
EA-INVESTIGATION,VIRGINIA_ATTORNEY_GENERAL,authority
EA-INVESTIGATION,CONTROLLER,subject
EA-INVESTIGATION,PROCESSOR,subject
EA-ENFORCEMENT_NOTICE,VIRGINIA_ATTORNEY_GENERAL,authority
EA-ENFORCEMENT_NOTICE,CONTROLLER,recipient
EA-ENFORCEMENT_NOTICE,PROCESSOR,recipient
EA-CURE_PERIOD,CONTROLLER,curing_party
EA-CURE_PERIOD,PROCESSOR,curing_party
EA-CURE_PERIOD,VIRGINIA_ATTORNEY_GENERAL,authority
EA-INJUNCTION,VIRGINIA_ATTORNEY_GENERAL,authority
EA-INJUNCTION,CONTROLLER,enjoined_party
EA-INJUNCTION,PROCESSOR,enjoined_party
EA-CIVIL_PENALTY,VIRGINIA_ATTORNEY_GENERAL,authority
EA-CIVIL_PENALTY,CONTROLLER,liable_party
EA-CIVIL_PENALTY,PROCESSOR,liable_party
EA-EXPENSE_RECOVERY,VIRGINIA_ATTORNEY_GENERAL,authority
EA-CONSUMER_COMPLAINT,CONSUMER,complainant
EA-CONSUMER_COMPLAINT,VIRGINIA_ATTORNEY_GENERAL,authority
EA-CONSUMER_COMPLAINT,CONTROLLER,subject
