exemption_id,type,name,description,section
EXEMPT-STATE_AGENCIES,Entity Exemption,Commonwealth Bodies and Political Subdivisions,"Any body, authority, board, bureau, commission, district, or agency of the Commonwealth or of any political subdivision of the Commonwealth.",59.1-576.B.i
EXEMPT-GLBA,Entity Exemption,GLBA Financial Institutions and Data,Any financial institution or data subject to Title V of the federal Gramm-Leach-Bliley Act (15 U.S.C. § 6801 et seq.).,59.1-576.B.ii
EXEMPT-HIPAA,Entity Exemption,HIPAA Covered Entities and Business Associates,"Any covered entity or business associate governed by the privacy, security, and breach notification rules issued by the U.S. Department of Health and Human Services, 45 C.F.R. Parts 160 and 164 established pursuant to HIPAA, and the Health Information Technology for Economic and Clinical Health Act (P.L. 111-5).",59.1-576.B.iii
EXEMPT-NONPROFIT,Entity Exemption,Nonprofit Organizations,"Any nonprofit organization, as defined in § 59.1-575.",59.1-576.B.iv
EXEMPT-HIGHER_ED,Entity Exemption,Institutions of Higher Education,"Any institution of higher education, as defined in § 59.1-575.",59.1-576.B.v
EXEMPT-PHI,Data Exemption,Protected Health Information,Protected health information under HIPAA.,59.1-576.C.1
EXEMPT-HEALTH_RECORDS,Data Exemption,Health Records,Health records for purposes of Title 32.1.,59.1-576.C.2
EXEMPT-PATIENT_IDENTIFYING,Data Exemption,Patient Identifying Information,Patient identifying information for purposes of 42 U.S.C. § 290dd-2.,59.1-576.C.3
EXEMPT-HUMAN_SUBJECTS,Data Exemption,Human Subjects Research Information,"Identifiable private information for purposes of the federal policy for the protection of human subjects under 45 C.F.R. Part 46; identifiable private information collected as part of human subjects research pursuant to the good clinical practice guidelines issued by The International Council for Harmonisation of Technical Requirements for Pharmaceuticals for Human Use; the protection of human subjects under 21 C.F.R. Parts 6, 50, and 56; or personal data used or shared in research conducted in accordance with the requirements set forth in this chapter, or other research conducted in accordance with applicable law.",59.1-576.C.4
EXEMPT-HCQIA,Data Exemption,Health Care Quality Improvement Act Records,Information and documents created for purposes of the federal Health Care Quality Improvement Act of 1986 (42 U.S.C. § 11101 et seq.).,59.1-576.C.5
EXEMPT-PATIENT_SAFETY,Data Exemption,Patient Safety Work Product,Patient safety work product for purposes of the federal Patient Safety and Quality Improvement Act (42 U.S.C. § 299b-21 et seq.).,59.1-576.C.6
EXEMPT-DEIDENTIFIED_HEALTH,Data Exemption,De-identified Health Care Information,Information derived from any of the health care-related information listed in this subsection that is de-identified in accordance with the requirements for de-identification pursuant to HIPAA.,59.1-576.C.7
EXEMPT-INTERMINGLED,Data Exemption,Intermingled Exempt Information,"Information originating from, and intermingled to be indistinguishable with, or information treated in the same manner as information exempt under this subsection that is maintained by a covered entity or business associate as defined by HIPAA or a program or a qualified service organization as defined by 42 U.S.C. § 290dd-2.",59.1-576.C.8
EXEMPT-PUBLIC_HEALTH,Data Exemption,Public Health Activities Information,Information used only for public health activities and purposes as authorized by HIPAA.,59.1-576.C.9
EXEMPT-FCRA,Data Exemption,Fair Credit Reporting Act Information,"The collection, maintenance, disclosure, sale, communication, or use of any personal information bearing on a consumer's credit worthiness, credit standing, credit capacity, character, general reputation, personal characteristics, or mode of living by a consumer reporting agency or furnisher that provides information for use in a consumer report, and by a user of a consumer report, but only to the extent that such activity is regulated by and authorized under the federal Fair Credit Reporting Act (15 U.S.C. § 1681 et seq.).",59.1-576.C.10
EXEMPT-DPPA,Data Exemption,Driver's Privacy Protection Act Data,"Personal data collected, processed, sold, or disclosed in compliance with the federal Driver's Privacy Protection Act of 1994 (18 U.S.C. § 2721 et seq.).",59.1-576.C.11
EXEMPT-FERPA,Data Exemption,FERPA-Regulated Data,Personal data regulated by the federal Family Educational Rights and Privacy Act (20 U.S.C. § 1232g et seq.).,59.1-576.C.12
EXEMPT-FARM_CREDIT,Data Exemption,Farm Credit Act Data,"Personal data collected, processed, sold, or disclosed in compliance with the federal Farm Credit Act (12 U.S.C. § 2001 et seq.).",59.1-576.C.13
EXEMPT-EMPLOYMENT,Data Exemption,"Employment, Emergency Contact, and Benefits Data","Data processed or maintained (i) in the course of an individual applying to, employed by, or acting as an agent or independent contractor of a controller, processor, or third party, to the extent that the data is collected and used within the context of that role; (ii) as the emergency contact information of an individual under this chapter used for emergency contact purposes; or (iii) that is necessary to retain to administer benefits for another individual relating to the individual under clause (i) and used for the purposes of administering those benefits.",59.1-576.C.14
EXEMPT-COPPA,Compliance Safe Harbor,COPPA Verifiable Parental Consent,Controllers and processors that comply with the verifiable parental consent requirements of the Children's Online Privacy Protection Act (15 U.S.C. § 6501 et seq.) shall be deemed compliant with any obligation to obtain parental consent under this chapter.,59.1-576.D
