section_id,requirement_id
59.1-577,VCDPA-59.1-577-R1
59.1-577,VCDPA-59.1-577-R2
59.1-577,VCDPA-59.1-577-R3
59.1-577,VCDPA-59.1-577-R4
59.1-577,VCDPA-59.1-577-R5
59.1-577,VCDPA-59.1-577-R6
59.1-577,VCDPA-59.1-577-R7
59.1-577,VCDPA-59.1-577-R8
59.1-578,VCDPA-59.1-578-R1
59.1-578,VCDPA-59.1-578-R2
59.1-578,VCDPA-59.1-578-R3
59.1-578,VCDPA-59.1-578-R4
59.1-578,VCDPA-59.1-578-R5
59.1-578,VCDPA-59.1-578-R6
59.1-578,VCDPA-59.1-578-R7
59.1-578,VCDPA-59.1-578-R8
59.1-579,VCDPA-59.1-579-R1
59.1-579,VCDPA-59.1-579-R2
59.1-579,VCDPA-59.1-579-R3
59.1-579,VCDPA-59.1-579-R4
59.1-579,VCDPA-59.1-579-R5
59.1-580,VCDPA-59.1-580-R1
59.1-580,VCDPA-59.1-580-R2
59.1-580,VCDPA-59.1-580-R3
59.1-580,VCDPA-59.1-580-R4
59.1-580,VCDPA-59.1-580-R5
59.1-581,VCDPA-59.1-581-R1
59.1-581,VCDPA-59.1-581-R2
59.1-584,VCDPA-59.1-584-R1
59.1-584,VCDPA-59.1-584-R2
