attribute_type,attribute_value,description
control_type,Preventive,Control Type: Preventive
control_type,Detective,Control Type: Detective
control_type,Corrective,Control Type: Corrective
security_properties,Confidentiality,Security Properties: Confidentiality
security_properties,Integrity,Security Properties: Integrity
security_properties,Availability,Security Properties: Availability
cybersecurity_concepts,Identify,Cybersecurity Concepts: Identify
cybersecurity_concepts,Protect,Cybersecurity Concepts: Protect
cybersecurity_concepts,Detect,Cybersecurity Concepts: Detect
cybersecurity_concepts,Respond,Cybersecurity Concepts: Respond
cybersecurity_concepts,Recover,Cybersecurity Concepts: Recover
security_domains,Governance and Ecosystem,Security Domains: Governance and Ecosystem
security_domains,Protection,Security Domains: Protection
security_domains,Defence,Security Domains: Defence
security_domains,Resilience,Security Domains: Resilience
operational_capabilities,Governance,Operational Capabilities: Governance
operational_capabilities,Asset Management,Operational Capabilities: Asset Management
operational_capabilities,Information Protection,Operational Capabilities: Information Protection
operational_capabilities,Human Resources Security,Operational Capabilities: Human Resources Security
operational_capabilities,Physical Security,Operational Capabilities: Physical Security
operational_capabilities,System and Network Security,Operational Capabilities: System and Network Security
operational_capabilities,Application Security,Operational Capabilities: Application Security
operational_capabilities,Secure Configuration,Operational Capabilities: Secure Configuration
operational_capabilities,Identity and Access Management,Operational Capabilities: Identity and Access Management
operational_capabilities,Threat and Vulnerability Management,Operational Capabilities: Threat and Vulnerability Management
operational_capabilities,Continuity,Operational Capabilities: Continuity
operational_capabilities,Supplier Relationship Security,Operational Capabilities: Supplier Relationship Security
operational_capabilities,Legal and Compliance,Operational Capabilities: Legal and Compliance
operational_capabilities,Information Security Event Management,Operational Capabilities: Information Security Event Management
operational_capabilities,Information Security Assurance,Operational Capabilities: Information Security Assurance
